listing_id,city,neighbourhood_cleansed,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,availability_365,availability_rate,avg_min_nights,avg_max_nights,number_of_reviews,review_scores_rating,review_scores_location,review_scores_value,host_is_superhost,instant_bookable,estimated_occupancy_l365d,estimated_revenue_l365d,amenities_count
1194323116964657986,twin_cities,Mille Lacs,Entire cabin,entire home/apt,7,3,4,317,2,267,0.7315068493150685,2,365,2,5,5,5,f,f,12,3804,13
1234990114846742912,twin_cities,Hennepin,Entire townhouse,entire home/apt,10,5,5,245,1,259,0.7095890410958904,2.4904109589041097,1125,7,4.57,4.71,4.57,f,f,42,10290,54
20636515,twin_cities,Pierce,Tiny home,entire home/apt,4,1,2,155,2,145,0.3972602739726027,2,1125,174,4.97,4.96,4.91,t,f,90,13950,52
53155851,twin_cities,Hennepin,Entire rental unit,entire home/apt,4,1,2,66,4,70,0.1917808219178082,4,1125,77,4.19,4.65,4.18,f,f,120,7920,20
690642121524994352,twin_cities,St. Croix,Entire home,entire home/apt,12,4,8,343,2,264,0.7232876712328767,2,1125,78,4.95,4.95,4.78,t,f,162,55566,54
734332860198688565,twin_cities,Wright,Entire place,entire home/apt,5,2,2,166,2,77,0.21095890410958903,2,14,5,5,5,4.8,t,f,24,3984,58
804231401422001274,twin_cities,Wright,Entire cabin,entire home/apt,3,1,1,163,2,155,0.4246575342465753,1.978082191780822,1125,37,4.89,4.97,4.81,t,t,66,10758,58
13201315,twin_cities,Ramsey,Entire rental unit,entire home/apt,4,1,1,200,3,88,0.2410958904109589,3,1125,3,4.67,5,4.5,f,f,0,0,7
805275276471211751,twin_cities,St. Croix,Entire home,entire home/apt,2,1,1,150,1,307,0.8410958904109589,1,365,0,null,null,null,f,f,0,0,22
1045166488520032249,twin_cities,Hennepin,Entire townhouse,entire home/apt,5,3,4,157,3,98,0.2684931506849315,3,365,30,4.97,4.97,4.93,t,f,120,18840,37
1194340243718568995,twin_cities,Ramsey,Private room in home,private room,1,1,1,37,5,317,0.8684931506849315,5,200,2,4.5,4,4.5,f,f,10,370,44
1497494622887196813,twin_cities,Hennepin,Room in hotel,private room,4,1,2,105,1,326,0.8931506849315068,1,730,0,null,null,null,f,f,0,0,44
24807188,twin_cities,Hennepin,Entire townhouse,entire home/apt,5,2,4,117,4,79,0.21643835616438356,4,180,61,4.9,4.9,4.85,f,f,8,936,42
36389447,twin_cities,Ramsey,Private room in rental unit,private room,3,1,2,63,2,142,0.38904109589041097,2,10,226,4.88,4.97,4.93,t,f,240,15120,54
42119903,twin_cities,Hennepin,Entire serviced apartment,entire home/apt,4,1,1,300,2,360,0.9863013698630136,2,62.64383561643836,43,4.86,5,4.67,t,f,24,7200,53
52604558,twin_cities,Hennepin,Private room in rental unit,private room,2,1,1,78,2,73,0.2,2,1125,42,4.83,4.12,4.74,f,t,6,468,26
53548353,twin_cities,Dakota,Entire home,entire home/apt,12,4,4,201,30,23,0.06301369863013699,30,1125,18,4.72,5,4.67,f,t,180,36180,51
657157049310004538,twin_cities,Mille Lacs,Entire cabin,entire home/apt,7,3,3,209,3,134,0.36712328767123287,3,365,2,5,5,5,f,t,0,0,15
783238672519117197,twin_cities,Ramsey,Entire home,entire home/apt,10,5,5,281,8,19,0.052054794520547946,8,365,23,4.65,4.74,4.61,f,f,96,26976,30
800944315184661133,twin_cities,Hennepin,Entire home,entire home/apt,4,2,2,77,1,168,0.4602739726027397,3.117808219178082,1125,105,4.68,4.44,4.61,f,f,156,12012,60
1127195798214609105,twin_cities,Hennepin,Entire rental unit,entire home/apt,3,1,2,100,2,312,0.8547945205479452,2.1534246575342464,365,26,4.42,4.69,4.42,f,t,96,9600,42
1175376253540545746,twin_cities,Le Sueur,Private room in rental unit,private room,2,1,1,92,1,333,0.9123287671232877,1,1125,37,4.92,4.86,4.95,t,t,174,16008,40
1324869008149614987,twin_cities,Sherburne,Entire home,entire home/apt,8,4,4,165,3,260,0.7123287671232876,3,365,12,5,4.92,4.92,t,t,72,11880,58
49757704,twin_cities,Hennepin,Entire home,entire home/apt,4,1,2,145,2,331,0.9068493150684932,2,1125,26,5,5,4.81,t,f,36,5220,51
1475594746246570356,twin_cities,Ramsey,Entire rental unit,entire home/apt,4,2,2,109,2,92,0.25205479452054796,2.0082191780821916,365,0,null,null,null,t,f,0,0,47
1503779340649122836,twin_cities,Ramsey,Entire home,entire home/apt,6,3,5,128,2,177,0.4849315068493151,1.1397260273972603,30,0,null,null,null,f,f,0,0,46
18412900,twin_cities,Hennepin,Private room in home,private room,2,1,1,33,4,330,0.9041095890410958,4,356,360,4.83,4.55,4.87,t,f,255,8415,46
580349956807861275,twin_cities,Hennepin,Entire home,entire home/apt,3,2,2,125,7,251,0.6876712328767123,6.93972602739726,1125,21,5,4.95,4.95,t,f,140,17500,50
