listing_id,city,neighborhood,room_type,price,median_neighborhood_price,price_gap_pct,occupancy_rate,occupancy_rank_percentile,amenity_score,review_rank_percentile,competitive_score,peak_month,peak_occupancy_rate
705815628392534448,chicago,Clearing,entire home/apt,374,167,123.95,0.2889,29.38,88.89,0,28.1,8,0.7535
895554734730702580,chicago,Near West Side,entire home/apt,171,211,-18.96,0.2111,27.98,47.62,74.9,56.91,12,0.3889
834985028869992919,chicago,Near North Side,entire home/apt,234,219,6.85,0.6333,70.42,45.05,92.88,61.51,12,0.4097
1036306388383552246,chicago,Near North Side,entire home/apt,148,219,-32.42,0.1556,20.31,15.38,0,32.63,12,0.4097
744935648948869793,chicago,Chatham,entire home/apt,284,208,36.54,0.2778,34.05,92.54,0,33.98,8,0.3889
1134351668237383955,chicago,Uptown,entire home/apt,98,123,-20.33,0.6889,74.37,58.73,60.66,65.82,8,0.4257
29481624,chicago,Lower West Side,entire home/apt,118,129,-8.53,0.0556,7.16,64.04,96.58,59.15,8,0.5403
1433510363260068070,chicago,Grand Boulevard,entire home/apt,154,158,-2.53,0.3333,42.55,61.54,43.39,50.5,8,0.3717
669222996858014350,chicago,Kenwood,entire home/apt,209,150,39.33,0.1,19.61,98.18,58.71,46.34,12,0.2741
25191782,chicago,Douglas,entire home/apt,126,131,-3.82,0.1111,14.4,45.59,98.03,54.93,8,0.5224
5117490,chicago,West Town,private room,123,71,73.24,0.9667,96.7,91.89,86.6,63.96,8,0.4327
16488400,chicago,Loop,entire home/apt,350,206,69.9,0.0333,4.19,22.73,0,6.52,12,0.3986
766056605942339033,chicago,Logan Square,entire home/apt,125,143,-12.59,0.2556,30.53,69.05,81.9,62.62,8,0.531
1312453744191648612,chicago,North Center,entire home/apt,105,159,-33.96,0.9,91.77,35.44,0,52.4,12,0.3744
10411427,chicago,East Garfield Park,private room,46,49,-6.12,0.0111,1.49,87.93,96.31,63.19,8,0.3809
45864022,chicago,Near North Side,entire home/apt,125,219,-42.92,0.6667,73.29,42.86,65.12,69.53,12,0.4097
1178979281510017157,chicago,Hermosa,private room,55,55,0,0.8333,84.84,97.78,60.8,71.61,8,0.4595
45515581,chicago,Douglas,entire home/apt,106,131,-19.08,0.1222,15.74,69.12,88.84,63.36,8,0.5224
554385076952526453,chicago,West Town,entire home/apt,147,168,-12.5,0.2778,36.59,50,77.15,57.86,8,0.4327
1429683444432323073,chicago,Near South Side,entire home/apt,182,209,-12.92,0.2889,47.99,81.01,57.4,63.08,12,0.3777
1225696519822610803,chicago,Grand Boulevard,entire home/apt,182,158,15.19,0.1,14.61,57.69,38.34,37.37,8,0.3717
14449619,chicago,West Town,private room,76,71,7.04,0.3,39.12,55.41,95.01,58.32,8,0.4327
639745550659737701,chicago,Avondale,entire home/apt,134,126,6.35,0.4444,51.49,55.29,76.27,56.28,8,0.4818
1010625312610977426,chicago,Near North Side,entire home/apt,253,219,15.53,0.8111,85.06,34.07,39.71,45.8,12,0.4097
